Email,Team,password
jane.doe,DBA,ChangeMe123456!
michael.scott,NetworkAdmin,ChangeMe123456!
barbara.brown,CloudAdmin,ChangeMe123456!
brian.garcia,LinuxAdmin,ChangeMe123456!
philip.jack,DBA,
angelino.marinho,DBA,
arachane.dinis,DBA,
armando.pirassununga,DBA,
astolfo.cerveira,DBA,
augusta.gusmao,DBA,
boaventura.trindade,DBA,
bras.vides,DBA,
bruna.muniz,DBA,
capitolina.garrido,DBA,
carina.salles,DBA,
caua.setubal,DBA,
celeste.moreira,DBA,
celso.torres,DBA,
cesar.matos,LinuxAdmin,
cleiton.frois,DBA,
cristiana.dornelles,DBA,
debora.ferreyra,LinuxAdmin,
deolindo.ourique,LinuxAdmin,
diamantino.raposo,LinuxAdmin,
donato.gama,LinuxAdmin,
doroteia.robalo,LinuxAdmin,
egas.malta,LinuxAdmin,
emiliana.bicudo,LinuxAdmin,
esperanca.carrasco,LinuxAdmin,
eudes.bogado,LinuxAdmin,
fausto.doutel,LinuxAdmin,
filipa.holanda,LinuxAdmin,
filipe.henriques,LinuxAdmin,
gil.pinhal,LinuxAdmin,
gilda.maior,LinuxAdmin,
giovana.carballo,LinuxAdmin,
glauber.feijo,LinuxAdmin,
glaucia.pitangui,LinuxAdmin,
godofredo.carvalhal,LinuxAdmin,
goncalo.balladares,LinuxAdmin,
graciano.vianna,LinuxAdmin,
gui.maior,LinuxAdmin,
guterre.milheiro,LinuxAdmin,
guterre.pastana,LinuxAdmin,
hedviges.velasquez,LinuxAdmin,
helena.acatauacu,LinuxAdmin,
hermigio.rosa,LinuxAdmin,
ibijara.capiperibe,NetworkAdmin,
ifigenia.homem,NetworkAdmin,
iracema.bento,NetworkAdmin,
jandaira.escobar,NetworkAdmin,
jeremias.paula,NetworkAdmin,
lavinia.delgado,NetworkAdmin,
ligia.palhares,NetworkAdmin,
lino.belmonte,NetworkAdmin,
lopo.camacho,NetworkAdmin,
luisa.ramirez,NetworkAdmin,
mario.briao,NetworkAdmin,
melissa.queiroz,NetworkAdmin,
mem.regueira,NetworkAdmin,
morgana.valgueiro,NetworkAdmin,
natalia.terra,NetworkAdmin,
nazare.verissimo,NetworkAdmin,
noe.betancour,NetworkAdmin,
noemia.sarmento,NetworkAdmin,
olavo.borges,NetworkAdmin,
oliveira.sobral,NetworkAdmin,
oriana.viveiros,NetworkAdmin,
paraguacu.ipanema,NetworkAdmin,
placido.medeiros,NetworkAdmin,
porfirio.azenha,NetworkAdmin,
potira.ferraco,NetworkAdmin,
quiteria.xavier,NetworkAdmin,
raquel.paredes,Trainees,
ruca.conde,Trainees,
salvador.vasquez,Trainees,
sancha.pino,Trainees,
sandro.alvarenga,Trainees,
sebastiana.peres,Trainees,
sebastiao.vasconcelos,Trainees,
severino.martins,Trainees,
sidonio.ramirez,Trainees,
simone.velasco,Trainees,
socorro.brum,Trainees,
sofia.siqueira,Trainees,
sonas.modesto,Trainees,
sonia.telles,Trainees,
teodorico.guilheiro,Trainees,
tobias.piraja,Trainees,
trajano.santanna,Trainees,
ubajara.guerreiro,Trainees,
vania.paredes,CloudAdmin,
vera.andrade,Trainees,
viriato.albernaz,Trainees,
xenia.peres,CloudAdmin,
zelia.ferrao,CloudAdmin,
zidane.espargosa,CloudAdmin,
zilda.pastana,CloudAdmin,
zulmira.paixao,CloudAdmin,
zuriel.losada,CloudAdmin,
